altitude,latitude,longitude,distance_to_coast,depth_or_elevation
1354211.388,66.04966999999999,131.454665,-292592.0,356.0
1354210.4291,66.04456499999999,131.59138099999998,-292107.0,563.0
1354209.4398,66.039332,131.728041,-291752.0,541.0
1354208.42,66.033969,131.864645,-291511.0,695.0
1354207.3698,66.028477,132.001191,-291402.0,647.0
1354206.2895,66.022858,132.137633,-291407.0,539.0
1354205.1788,66.01711,132.274003,-291544.0,650.0
1354204.0376,66.01123299999999,132.41033,-291353.0,378.0
1354202.8658,66.005226,132.546613,-290154.0,459.0
1354201.6636,65.99909099999999,132.68283499999998,-289081.0,322.0
1354200.431,65.99282699999999,132.81899099999998,-288138.0,657.0
1354199.1679,65.986434,132.955078,-287319.0,463.0
1354197.8744,65.979913,133.09109899999999,-286574.0,501.0
1354196.5507,65.973264,133.227038,-285960.0,637.0
1354195.1971,65.96649099999999,133.362844,-285479.0,901.0
1354193.8132,65.959589,133.498574,-285131.0,880.0
1354192.3989,65.952559,133.634243,-284839.0,652.0
1354190.954,65.94539999999999,133.769851,-284599.0,627.0
1354189.4788,65.938114,133.905383,-284494.0,675.0
1354187.9732,65.9307,134.040835,-284515.0,611.0
1354186.4373,65.923159,134.17620399999998,-284661.0,635.0
1354184.8711,65.915491,134.311491,-284941.0,741.0
1354183.2746000001,65.907695,134.446696,-285354.0,775.0
1354181.6478,65.899773,134.58181399999998,-285900.0,698.0
1354179.9907,65.891724,134.71684299999998,-286578.0,590.0
1354178.3033,65.88354799999999,134.85178399999998,-287371.0,649.0
1354176.5856,65.87524499999999,134.986636,-288294.0,741.0
1354174.8376,65.866816,135.121403,-289334.0,868.0
1354173.0593,65.85826,135.256084,-290497.0,815.0
1354171.251,65.84957899999999,135.39065,-291786.0,973.0
1354169.4128,65.840775,135.525092,-293198.0,894.0
1354167.5446,65.831845,135.659428,-294733.0,988.0
1354165.646,65.822788,135.793676,-296389.0,971.0
1354163.7167,65.813604,135.927864,-298164.0,809.0
1354161.7572,65.804294,136.061954,-300055.0,814.0
1354159.7674,65.79485799999999,136.195945,-302061.0,662.0
1354157.7475,65.785298,136.32983199999998,-304179.0,733.0
1354155.6973,65.775612,136.463615,-306407.0,815.0
1354153.6171,65.765802,136.597293,-308742.0,1035.0
1354151.5066,65.755866,136.730867,-311182.0,797.0
1354149.3659,65.745806,136.864337,-313725.0,826.0
1354147.1955,65.735624,136.997669,-316361.0,875.0
1354144.9951,65.725318,137.130887,-319085.0,1081.0
1354142.7646,65.71488699999999,137.263997,-321904.0,1204.0
1354140.5039,65.70433299999999,137.396999,-324815.0,955.0
1354138.2129,65.693654,137.5299,-327818.0,876.0
1354135.8919,65.682851,137.662678,-330407.0,697.0
1354133.5408,65.671925,137.795348,-332839.0,906.0
1354131.1594,65.66087499999999,137.927908,-335367.0,916.0
1354128.7481,65.64970199999999,138.06035,-337987.0,776.0
1354126.3066,65.638407,138.192672,-340686.0,1134.0
1354123.8352,65.626988,138.324873,-343474.0,1009.0
1354121.3338,65.615447,138.456952,-341496.0,1225.0
1354118.8023,65.60378399999999,138.588909,-337620.0,1254.0
1354116.2411,65.592,138.72072799999998,-333807.0,1275.0
1354113.6502,65.580094,138.852411,-330067.0,1198.0
1354111.0293999999,65.568067,138.983967,-326403.0,1300.0
1354108.3788,65.55592,139.115387,-322817.0,1468.0
1354105.6993,65.543656,139.246628,-319313.0,1671.0
1354102.9898,65.53126999999999,139.37774299999998,-315892.0,1240.0
1354100.2502,65.518762,139.50874,-312557.0,1255.0
1354097.4799,65.50613,139.639645,-309310.0,1226.0
1354094.6797,65.493377,139.77042,-306154.0,1348.0
1354091.8495,65.480503,139.90106699999998,-303093.0,1308.0
1354088.9892,65.467508,140.031587,-300128.0,1413.0
1354086.0991,65.454392,140.161972,-297265.0,1562.0
1354083.1792,65.441157,140.29222,-294504.0,1326.0
1354080.2298,65.427804,140.422316,-291850.0,1207.0
1354077.2506,65.41433099999999,140.55227499999998,-289305.0,1765.0
1354074.2415,65.400739,140.682097,-286872.0,2071.0
1354071.2034,65.38703,140.811747,-284554.0,1996.0
1354068.1352,65.37320199999999,140.94126799999998,-282354.0,1830.0
1354065.037,65.35925399999999,141.070659,-280274.0,1724.0
1354061.909,65.345187,141.19991,-278317.0,1395.0
1354058.7512,65.331001,141.329019,-276485.0,1175.0
1354055.5636,65.31669699999999,141.45798499999998,-274782.0,1180.0
1354052.3463,65.302275,141.586808,-273210.0,1247.0
1354049.0992,65.287734,141.715489,-271770.0,1947.0
1354045.8223,65.273076,141.84402599999999,-270466.0,1684.0
1354042.5155,65.258299,141.972421,-269298.0,1042.0
1354039.1789,65.243405,142.100675,-268270.0,965.0
1354035.8126,65.228393,142.228782,-267382.0,993.0
1354032.4164,65.213264,142.356744,-266635.0,1237.0
1354028.9905,65.198017,142.48456099999999,-266032.0,1162.0
1354025.5348,65.182654,142.612228,-265573.0,991.0
1354022.0494,65.167174,142.739747,-265258.0,1289.0
1354018.5343,65.151577,142.867117,-265089.0,1308.0
1354014.9894,65.135864,142.994336,-265066.0,983.0
1354011.4149,65.120035,143.121403,-265188.0,411.0
1354007.8109,65.104091,143.248309,-264508.0,1045.0
1354004.1773,65.088032,143.375061,-262587.0,1301.0
1354000.5141,65.071857,143.501654,-260799.0,1407.0
1353996.8223,65.055572,143.628061,-259149.0,1479.0
1353993.1012,65.039174,143.75429699999998,-257637.0,1582.0
1353989.3508,65.022661,143.880373,-256268.0,1402.0
1353985.5713,65.00603699999999,144.00627,-255043.0,1446.0
1353981.7633,64.989302,144.131978,-253964.0,1355.0
1353977.9257,64.972454,144.25752599999998,-252687.0,1284.0
1353974.0587,64.95549199999999,144.382915,-251528.0,1495.0
1353970.1622,64.938417,144.50814,-250519.0,1257.0
1353966.2362,64.921229,144.633207,-249660.0,1232.0
1353962.2807,64.903927,144.75811299999998,-247957.0,1251.0
1353958.2959,64.886513,144.882851,-245822.0,988.0
1353954.2817,64.86898699999999,145.007423,-243826.0,1370.0
1353950.2383,64.851349,145.131826,-241974.0,1498.0
1353946.1656,64.83359899999999,145.256059,-240267.0,1435.0
1353942.0636,64.815738,145.380125,-238710.0,1699.0
1353937.9329,64.797769,145.50400199999999,-237306.0,1523.0
1353933.7739,64.779692,145.627684,-235600.0,1468.0
1353929.5856,64.761504,145.751198,-233856.0,1604.0
1353925.368,64.743205,145.874543,-232264.0,1402.0
1353921.1211,64.724796,145.997718,-230829.0,1221.0
1353916.845,64.706276,146.12072,-229553.0,1680.0
1353912.5398,64.687647,146.24355,-228439.0,1955.0
1353908.2055,64.668909,146.36620299999998,-227488.0,1721.0
1353903.8422,64.650061,146.48868099999999,-226701.0,1645.0
1353899.4496,64.631104,146.610986,-226063.0,1650.0
1353895.0278,64.612037,146.73312199999998,-225595.0,1439.0
1353890.5767,64.592861,146.855084,-225297.0,1534.0
1353886.0967,64.573577,146.976868,-225170.0,1548.0
1353881.5881,64.554187,147.09846199999998,-225214.0,1170.0
1353877.0505,64.534689,147.219877,-225429.0,1525.0
1353872.4845,64.515086,147.341096,-225815.0,1310.0
1353858.6744,64.45589799999999,147.702089,-227916.0,958.0
1353853.9918,64.435863,147.822623,-228951.0,899.0
1353849.2803,64.41572099999999,147.942976,-230149.0,823.0
1353844.5399,64.395474,148.063146,-231507.0,813.0
1353839.7707,64.375121,148.183133,-233023.0,784.0
1353834.9727,64.35466199999999,148.302936,-234694.0,732.0
1353830.1457,64.334098,148.42255699999998,-236509.0,704.0
1353825.2903,64.313429,148.541988,-238461.0,574.0
1353820.4052,64.292652,148.661252,-240559.0,695.0
1353815.4914,64.271771,148.78033299999998,-242797.0,548.0
1353810.5487,64.250784,148.899229,-243924.0,507.0
1353805.5773,64.229694,149.01793999999998,-244884.0,871.0
1353800.577,64.208499,149.13646699999998,-245998.0,424.0
1353795.548,64.18719899999999,149.254808,-247263.0,402.0
1353790.4903,64.165797,149.372961,-248677.0,390.0
1353785.404,64.144291,149.490925,-250237.0,380.0
1353780.289,64.122683,149.608701,-251929.0,406.0
1353775.1454,64.100971,149.726291,-253740.0,623.0
1353769.9729,64.079156,149.843695,-255690.0,688.0
1353764.7732,64.057244,149.960881,-257720.0,852.0
1353759.5448,64.03523,150.07788,-259672.0,848.0
1353754.2878,64.013114,150.19468899999998,-261758.0,795.0
1353749.0024,63.990897,150.311305,-263800.0,705.0
1353743.6884,63.968579,150.427733,-265887.0,529.0
1353738.3459,63.946158999999994,150.543971,-268101.0,317.0
1353732.9747,63.923637,150.660022,-270440.0,284.0
1353727.5751,63.901014999999994,150.775881,-272901.0,256.0
1353722.1471,63.878293,150.891547,-275480.0,254.0
1353716.6909,63.855472,151.007017,-278175.0,414.0
1353711.2064,63.832552,151.122291,-280968.0,446.0
1353705.6935,63.809532,151.237373,-283869.0,581.0
1353700.1523,63.786412,151.352262,-286874.0,603.0
1353694.5839,63.763197999999996,151.46693399999998,-289982.0,638.0
1353688.9873,63.739886999999996,151.58140899999998,-293187.0,539.0
1353683.3625,63.716476,151.69568999999998,-296489.0,907.0
1353677.7095,63.692968,151.809777,-299883.0,552.0
1353672.0282,63.669360999999995,151.923668,-303367.0,502.0
1353666.3191,63.645658999999995,152.03735899999998,-306937.0,567.0
1353660.5818,63.621859,152.15085299999998,-310590.0,372.0
1353654.8162,63.597961,152.264155,-314323.0,329.0
1353649.0224,63.573966,152.377263,-317272.0,361.0
1353643.2005,63.549873999999996,152.490175,-311399.0,502.0
1353637.3519,63.525692,152.60286399999998,-305540.0,754.0
1353631.4747,63.501411,152.715367,-299693.0,687.0
1353625.5686,63.477031,152.827689,-293860.0,545.0
1353619.6347,63.452555999999994,152.939811,-288042.0,199.0
1353613.6729000001,63.427986,153.05173399999998,-282239.0,260.0
1353607.6831,63.403321,153.163459,-276453.0,482.0
1353601.6654,63.37856,153.27498799999998,-270685.0,610.0
1353595.6209,63.35371,153.38629699999998,-264938.0,724.0
1353589.5499,63.328771999999994,153.49738299999999,-259209.0,578.0
1353583.4512,63.30374,153.60826799999998,-253501.0,510.0
1353577.3245,63.278614,153.718957,-247815.0,437.0
1353571.1699,63.253392999999996,153.829452,-242153.0,418.0
1353564.9872,63.228078,153.939752,-236518.0,274.0
1353558.7765,63.202669,154.049858,-230910.0,235.0
1353552.5381,63.177167,154.159766,-225333.0,263.0
1353546.272,63.151573,154.26947099999998,-219789.0,267.0
1353539.9786,63.125887999999996,154.378974,-214178.0,309.0
1353533.6577,63.100111999999996,154.488273,-208425.0,305.0
1353527.3094,63.074245999999995,154.597368,-202698.0,331.0
1353520.9338,63.048288,154.706259,-196999.0,393.0
1353514.5308,63.022240999999994,154.814948,-191330.0,551.0
1353508.1005,62.996103,154.923432,-185695.0,651.0
1353501.6427,62.969874999999995,155.031715,-180092.0,708.0
1353495.1574,62.943555999999994,155.13979999999998,-174529.0,1201.0
1353488.6473,62.917158,155.247639,-169011.0,1111.0
1353482.1109,62.890674999999995,155.35526099999998,-163543.0,954.0
1353475.5466,62.8641,155.46268899999998,-158128.0,864.0
1353468.9545,62.837433999999995,155.56992599999998,-152770.0,829.0
1353462.3353,62.81068,155.67695799999998,-147076.0,763.0
1353455.6882,62.783834999999996,155.783799,-141353.0,679.0
1353449.0132,62.756899,155.890449,-135671.0,658.0
1353442.311,62.729875,155.996897,-130035.0,430.0
1353435.5817,62.702763,156.103143,-124452.0,541.0
1353428.8252,62.675563999999994,156.209186,-118929.0,493.0
1353422.0416,62.648277,156.31502799999998,-113476.0,625.0
1353415.2313,62.620903999999996,156.420663,-108045.0,639.0
1353408.3945,62.593447999999995,156.526086,-102699.0,668.0
1353401.5311,62.565906,156.631302,-97454.0,731.0
1353394.6409,62.53828,156.736312,-92327.0,732.0
1353387.7239,62.510568,156.841118,-87339.0,665.0
1353380.7802,62.482771,156.945717,-82459.0,657.0
1353373.8098,62.454888999999994,157.05011199999998,-77761.0,703.0
1353366.8126,62.426922999999995,157.154305,-73274.0,773.0
1353359.7893,62.398874,157.258285,-69031.0,814.0
1353352.7393,62.370742,157.36205999999999,-65062.0,1129.0
1353345.6626,62.342526,157.465633,-61461.0,1341.0
1353338.559,62.314223999999996,157.569006,-58245.0,1299.0
1353331.4283,62.285838,157.672182,-55380.0,1215.0
1353324.273,62.257376,157.775127,-52957.0,1095.0
1353317.0945,62.228843999999995,157.87781999999999,-49441.0,670.0
1353266.365,62.027851999999996,158.58742999999998,-21171.0,372.0
1353258.9687,61.998639999999995,158.688614,-15108.0,419.0
1353251.5459,61.969345999999994,158.789596,-9219.0,330.0
1353244.0969,61.939972,158.890376,-4216.0,75.0
1353236.6214,61.910515999999994,158.99095699999998,-295.0,-9.0
1353229.1194,61.880979999999994,159.09133799999998,4108.0,-144.0
1353221.5918999999,61.851366,159.191509,6521.0,-118.0
1353198.9577,61.762460999999995,159.489434,660.0,1.0
1353191.3249,61.732527,159.58881499999998,-2745.0,97.0
1353183.6659,61.702514,159.687996,-941.0,21.0
1353175.9811,61.672422999999995,159.786974,2752.0,-29.0
1353168.2702,61.642253999999994,159.88575,6670.0,-62.0
1353160.5335,61.612007999999996,159.984324,11512.0,-115.0
1353152.7708,61.581683,160.082697,8811.0,-145.0
1353144.9824,61.551282,160.180869,3677.0,-164.0
1353137.1681,61.520804,160.278839,-1909.0,74.0
1353129.3279,61.490247999999994,160.376609,-8041.0,399.0
1353121.4617,61.459615,160.474181,-14228.0,690.0
1353113.5693,61.428903999999996,160.57155899999998,-20424.0,629.0
1353105.6524,61.398122,160.668722,-26621.0,418.0
1353097.7112,61.367269,160.765668,-32818.0,293.0
1353089.7441,61.336338999999995,160.862416,-35506.0,428.0
1353081.7511,61.305333,160.958968,-29307.0,200.0
1353073.7325,61.274252,161.055322,-23109.0,250.0
1353065.6882,61.243095,161.151478,-16911.0,358.0
1353057.6179,61.211861999999996,161.24743999999998,-10715.0,177.0
1353049.5221,61.180554,161.343204,-4530.0,146.0
1353041.4007,61.149170999999996,161.43877,1001.0,17.0
1353033.254,61.117715,161.53413799999998,4429.0,-58.0
1353025.0819,61.086185,161.62930599999999,10506.0,-79.0
1353016.8845,61.054581999999996,161.724276,16510.0,-98.0
1353008.6618,61.022906,161.81904699999998,22296.0,-102.0
1353000.414,60.991156999999994,161.91361999999998,28259.0,-100.0
1352992.1409,60.959334999999996,162.007994,34306.0,-95.0
1352983.8426,60.927442,162.102171,38540.0,-86.0
1352975.5193,60.895475999999995,162.196149,32684.0,-75.0
1352967.1708,60.863437999999995,162.289931,26861.0,-72.0
1352958.7973,60.831328,162.383515,21153.0,-150.0
1352950.3988,60.799147999999995,162.476902,15760.0,-200.0
1352941.9753,60.766895999999996,162.570091,11188.0,-229.0
1352933.5268,60.734573,162.663085,8840.0,-203.0
1352925.0535,60.702178999999994,162.755881,4100.0,-75.0
1352916.5553,60.669715999999994,162.848482,-1820.0,139.0
1352908.0321,60.637181,162.940888,-7770.0,132.0
1352899.4837,60.604575,163.03310199999999,-13901.0,60.0
1352890.9101,60.571898,163.125126,-19033.0,86.0
1352882.3124,60.539153,163.216948,-20534.0,55.0
1352873.6907,60.506342,163.30856699999998,-23524.0,70.0
1352865.0444,60.473462,163.399992,-27591.0,71.0
1352856.3737,60.440514,163.491219,-32333.0,61.0
1352847.6783,60.407497,163.58225299999998,-37485.0,103.0
1352838.9581,60.37441,163.673096,-39287.0,163.0
1352830.2139,60.341257999999996,163.76373999999998,-35307.0,138.0
1352821.4451,60.308037,163.85419199999998,-31758.0,100.0
1352812.6517,60.274747999999995,163.94445299999998,-28478.0,127.0
1352803.8338,60.241391,164.03452199999998,-24602.0,309.0
1352794.9923,60.207969,164.12439,-18475.0,239.0
1352786.1268,60.174482,164.21406299999998,-12420.0,192.0
1352777.2368,60.140927999999995,164.30354599999998,-6634.0,229.0
1352768.3219,60.107304,164.392844,-1380.0,0.0
1352759.3824,60.073612,164.481955,2497.0,-69.0
1352750.4188,60.039854999999996,164.570873,1118.0,-29.0
1352741.431,60.006032,164.65960099999998,774.0,-11.0
1352732.4192,59.972142999999996,164.74813799999998,-1228.0,6.0
1352723.3833,59.938188999999994,164.83648399999998,-3457.0,28.0
1352714.3233,59.904168999999996,164.92464099999998,-7522.0,114.0
1352705.2393,59.870084,165.012608,-3264.0,164.0
1352696.1315,59.835935,165.100384,2619.0,-167.0
1352686.9999,59.801722,165.187971,8683.0,-529.0
1352677.8443,59.767444,165.27536899999998,14843.0,-618.0
1352668.665,59.733101999999995,165.36257799999998,21027.0,-455.0
1352659.4619,59.698696999999996,165.449599,27219.0,-149.0
1352650.2351,59.664227999999994,165.536431,33414.0,-4.0
1352640.9845,59.629695,165.623076,32502.0,-4.0
1352631.7102,59.595099,165.709534,31523.0,-56.0
1352622.4123,59.56044,165.795804,31693.0,-115.0
1352613.091,59.525718999999995,165.88188599999998,33028.0,-180.0
1352603.7461,59.490935,165.967782,35364.0,-293.0
1352594.3777,59.456089,166.05349099999998,38553.0,-395.0
1352584.9859,59.421181,166.139015,42380.0,-422.0
1352575.5706,59.386210999999996,166.22435199999998,46552.0,-423.0
1352566.132,59.351178999999995,166.309504,51013.0,-125.0
1352556.6701,59.316086,166.39447099999998,55441.0,-6.0
1352547.1849,59.280932,166.479253,60040.0,-15.0
1352537.6764,59.245715999999994,166.56385,64906.0,-494.0
1352528.1447,59.21044,166.64826399999998,69985.0,-1000.0
1352518.5898,59.175103,166.732493,75232.0,-1297.0
1352509.0118,59.139706,166.816539,80615.0,-1397.0
1352499.4108,59.104248999999996,166.90040199999999,86108.0,-1586.0
1352489.7866,59.068732,166.984082,91693.0,-1782.0
1352480.1395,59.033155,167.06758,97351.0,-2214.0
1352470.4694,58.997518,167.150895,103068.0,-3050.0
1352460.7764,58.961822,167.234028,108838.0,-3624.0
1352451.0605,58.926066999999996,167.31698,114653.0,-3566.0
1352441.3218,58.890252999999994,167.39975099999998,120508.0,-3513.0
1352431.5602,58.854381,167.48234,126395.0,-3655.0
1352421.7759,58.81845,167.564749,132312.0,-3562.0
1352411.9689,58.78246,167.646978,138253.0,-3472.0
1352402.1393,58.746413,167.729027,144217.0,-3554.0
1352392.287,58.710307,167.81089699999998,150200.0,-3639.0
1352382.4121,58.674144,167.892587,156200.0,-3724.0
1352372.5147,58.637923,167.974098,162216.0,-3818.0
1352362.5948,58.601645,168.055431,168245.0,-3868.0
1352352.6524,58.56531,168.136585,174286.0,-3858.0
1352342.6876,58.528918,168.217562,180339.0,-3797.0
1352332.7004,58.49247,168.298361,186401.0,-3685.0
1352322.6909,58.455965,168.378983,192472.0,-3565.0
1352312.6591,58.419402999999996,168.459428,196529.0,-3585.0
1352302.6051,58.382785999999996,168.539697,197733.0,-3614.0
1352292.5289,58.346112,168.61979,199124.0,-3600.0
1352282.4305,58.309383,168.699707,200697.0,-3511.0
1352272.31,58.272599,168.779448,202450.0,-3417.0
1352262.1674,58.235758999999995,168.859015,204376.0,-3383.0
1352252.0028,58.198864,168.93840699999998,206471.0,-3232.0
1352241.8162,58.161913999999996,169.01762399999998,208730.0,-3211.0
1352231.6077,58.124908999999995,169.096668,211148.0,-3360.0
1352221.3772,58.087849999999996,169.175537,213719.0,-3211.0
1352211.1249,58.050736,169.254234,216438.0,-2940.0
1352200.8508,58.013569,169.332757,219299.0,-2993.0
1352190.555,57.976347,169.41110799999998,222298.0,-3105.0
1352180.2374,57.939071,169.489287,225402.0,-3110.0
1352169.8981,57.901742,169.567294,228629.0,-3255.0
1352159.5372,57.86436,169.64513,231977.0,-3088.0
1352149.1547,57.826924,169.722794,235442.0,-3062.0
1352138.7507,57.789435999999995,169.800287,239018.0,-2964.0
1352128.3252,57.751894,169.877611,242701.0,-2573.0
1352117.8782,57.714299999999994,169.95476399999998,246485.0,-2160.0
1352107.4098,57.676652999999995,170.031747,250366.0,-1645.0
1352096.92,57.638954,170.10856099999998,254340.0,-1341.0
1352086.4089,57.601203,170.185206,258402.0,-1361.0
1352075.8765,57.563401,170.26168199999998,262548.0,-1455.0
1352065.323,57.525546,170.337991,266775.0,-1578.0
1352054.7482,57.48764,170.414131,271071.0,-1726.0
1352044.1522,57.449681999999996,170.490104,275440.0,-1664.0
1352033.5352,57.411674,170.56591,279878.0,-1336.0
1352022.8971,57.373613999999996,170.641549,284383.0,-920.0
1352012.238,57.335504,170.717021,288951.0,-833.0
1352001.558,57.297343,170.792328,293580.0,-1154.0
1351990.857,57.259131,170.867469,298266.0,-1430.0
1351980.1352,57.220869,170.942445,303007.0,-1551.0
1351969.3925,57.182556999999996,171.017255,307801.0,-1641.0
1351958.6291,57.144194999999996,171.09190099999998,312644.0,-1786.0
1351947.8449,57.105784,171.166383,317536.0,-1816.0
1351937.04,57.067322999999995,171.240702,322472.0,-1778.0
1351926.2146,57.028811999999995,171.314856,327452.0,-1896.0
1351915.3685,56.990252,171.388848,332474.0,-2163.0
1351904.5018,56.951643,171.46267699999999,337536.0,-2458.0
1351893.6147,56.912986,171.53634399999999,338764.0,-2595.0
1351882.7071,56.874278999999994,171.609848,338887.0,-2626.0
1351871.7791,56.835525,171.683191,339123.0,-2775.0
1351860.8307,56.796721,171.756373,339471.0,-3177.0
1351849.862,56.75787,171.82939399999998,339931.0,-3536.0
1351838.8731,56.71897,171.902255,340502.0,-3600.0
1351827.8639,56.680023,171.974955,341184.0,-3556.0
1351816.8345,56.641028,172.047496,341976.0,-3582.0
1351805.785,56.601986,172.119877,342878.0,-3664.0
1351794.7155,56.562895999999995,172.19209999999998,343888.0,-3751.0
1351783.6259,56.523759,172.264163,345006.0,-3745.0
1351772.5163,56.484575,172.33606899999998,346230.0,-3729.0
1351761.3868,56.445344,172.407817,347560.0,-3802.0
1351750.2374,56.406067,172.47940699999998,348994.0,-3804.0
1351739.0681,56.366743,172.55084,350531.0,-3754.0
1351727.8791,56.327372999999994,172.622116,352169.0,-3771.0
1351716.6703,56.287955999999994,172.69323599999998,353888.0,-3721.0
1351705.4418,56.248494,172.7642,355426.0,-3698.0
1351694.1937,56.208985999999996,172.835008,355498.0,-3819.0
1351682.9259,56.169432,172.90566099999998,351177.0,-3875.0
1351671.6386,56.129833,172.976159,346912.0,-3814.0
1351660.3318,56.090188,173.046502,342705.0,-3795.0
1351649.0055,56.050498,173.116691,338559.0,-3827.0
1351637.6599,56.010763,173.186727,334476.0,-3819.0
1351626.2948,55.970983,173.256609,330459.0,-3819.0
1351614.9105,55.931159,173.326338,326509.0,-3831.0
1351603.5068,55.89129,173.395915,322629.0,-3840.0
1351592.084,55.851375999999995,173.465339,318821.0,-3845.0
1351580.642,55.811419,173.53461099999998,314777.0,-3845.0
1351569.1809,55.771417,173.60373199999998,310774.0,-3845.0
1351557.7007,55.731370999999996,173.672701,306843.0,-3853.0
1351546.2014,55.691281999999994,173.74151999999998,302988.0,-3854.0
1351534.6832,55.651149,173.81018799999998,299207.0,-3856.0
1351523.1461,55.610972999999994,173.878707,295499.0,-3858.0
1351511.5901,55.570752999999996,173.94707499999998,291875.0,-3863.0
1351500.0153,55.53049,174.01529399999998,288339.0,-3865.0
1351488.4217,55.490184,174.083365,284892.0,-3866.0
1351476.8093,55.449835,174.151287,281540.0,-3863.0
1351465.1783,55.409444,174.21905999999998,278284.0,-3864.0
1351453.5287,55.369009999999996,174.286686,275129.0,-3870.0
1351441.8604000001,55.328534,174.354164,272078.0,-3864.0
1351430.1737,55.288014999999994,174.421495,269134.0,-3856.0
1351418.4684,55.247454999999995,174.48868,266302.0,-3865.0
1351406.7448,55.206852,174.55571799999998,263584.0,-3853.0
1351395.0027,55.166208,174.62260999999998,260985.0,-3850.0
1351383.2423,55.125522,174.689357,258507.0,-3881.0
1351371.4637,55.084793999999995,174.755958,256155.0,-3877.0
1351359.6668,55.044025999999995,174.82241499999998,253931.0,-3873.0
1351347.8517,55.003215999999995,174.888727,251840.0,-3880.0
1351336.0185,54.962365,174.954894,249805.0,-3865.0
1351324.1672,54.921473,175.020918,247726.0,-3864.0
1351312.2979000001,54.880539999999996,175.08679899999998,245785.0,-3873.0
1351300.4106,54.839566999999995,175.152537,243203.0,-3903.0
1351288.5054,54.798553,175.218131,240138.0,-3902.0
1351276.5823,54.757498999999996,175.283584,237190.0,-3912.0
1351264.6414,54.716404999999995,175.348895,234290.0,-3964.0
1351252.6827,54.675270999999995,175.414064,231519.0,-3932.0
1351240.7063,54.634097,175.47909099999998,228881.0,-3652.0
1351228.7122,54.592883,175.54397799999998,226382.0,-3056.0
1351216.7005,54.551629999999996,175.608725,224026.0,-2602.0
1351204.6713,54.510337,175.673331,221818.0,-2730.0
1351192.6245,54.469004999999996,175.737797,219762.0,-3194.0
1351180.5603,54.427634,175.802124,217861.0,-3550.0
1351168.4787,54.386222999999994,175.866312,216122.0,-3781.0
1351156.3796,54.344774,175.930361,214547.0,-3883.0
1351144.2633,54.303286,175.994272,213140.0,-3933.0
1351132.1297,54.261759999999995,176.058045,208920.0,-3919.0
1351119.9789,54.220195,176.12168,204641.0,-3900.0
1351107.811,54.178591,176.18517799999998,200461.0,-3914.0
1351095.6259,54.13695,176.24854,196388.0,-3906.0
1351083.4238,54.09527,176.31176499999998,192428.0,-3889.0
1351071.2046,54.053551999999996,176.374853,188589.0,-3911.0
1351058.9685,54.011796999999994,176.437806,184876.0,-3921.0
1351046.7155,53.970003,176.500623,181300.0,-3937.0
1351034.4457,53.928173,176.56330599999998,177866.0,-3933.0
1351022.1591,53.886305,176.62585299999998,174566.0,-3911.0
1351009.8557,53.844398999999996,176.688266,171241.0,-3894.0
1350997.5356,53.802457,176.75054599999999,168063.0,-3904.0
